year_month,article_count,mean_sentiment,std_sentiment,sentiment_intensity,tourist_arrivals,usd_lkr_rate,inflation_rate
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.5,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.5,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.29,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.13,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.03,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.35,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.47,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,200.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.5,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,200.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-09,29.0,-0.1508870977779914,0.6847537056732798,-0.5131968018891061,13547.0,199.0,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,199.69,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,200.71,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,200.49,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,201.11,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,202.5,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,200.0,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,200.01,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,200.0,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,198.85,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,200.0,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,200.3,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,201.0,7.01478071238195
2021-10,40.0,-0.0264814585447311,0.5976226083280546,-0.0983408047373016,22771.0,201.0,7.01478071238195
